Timestamp,CPU Load,Used Memory
1733781685.443155,21.8,278.1
1733781686.468981,23.0,278.1
1733781687.4813337,18.0,278.1
1733781688.4942257,21.0,278.1
1733781689.5090992,20.0,278.1
1733781690.5295494,21.0,278.1
1733781691.540384,20.8,278.1
1733781692.5572126,22.0,278.1
1733781693.5719252,23.0,278.41
1733781694.5893998,20.0,278.41
1733781695.6107144,23.0,278.41
1733781696.6242142,23.0,278.41
1733781697.6451626,29.9,278.41
1733781698.6628945,23.0,278.41
1733781699.6784759,20.0,278.41
1733781700.7007368,21.9,278.41
1733781701.717282,22.0,278.41
1733781702.7328455,24.0,278.41
1733781703.7494674,22.0,278.41
1733781704.7648141,22.9,278.41
1733781705.7762842,21.0,278.41
1733781706.7945857,24.9,278.41
1733781707.8162117,22.0,278.41
1733781708.8274791,20.9,278.41
1733781709.8448045,25.0,278.41
1733781710.8575768,18.9,278.41
1733781711.8851817,25.9,278.41
1733781712.9012554,24.0,278.41
1733781713.9169714,26.0,278.41
1733781714.9412713,24.0,278.41
1733781715.953286,22.0,278.41
1733781716.9707909,19.0,278.41
1733781717.9838095,23.0,278.41
1733781718.9949596,17.0,278.41
1733781720.0130467,21.0,278.41
1733781721.0276716,20.0,278.41
1733781722.0514417,20.9,278.41
1733781723.072514,25.0,278.41
1733781724.0842042,31.0,278.41
1733781725.10491,27.9,278.41
1733781726.118045,25.0,278.41
1733781727.1362062,24.0,278.41
1733781728.1509087,20.0,278.41
1733781729.1714528,20.0,278.41
1733781730.1861966,19.9,278.41
1733781731.2220976,20.0,278.41
1733781732.235427,23.0,278.41
1733781733.2504604,21.0,278.41
1733781734.2631733,22.0,278.41
1733781735.2794328,19.0,278.41
1733781736.3030396,22.0,278.41
1733781737.3203158,22.0,278.41
1733781738.3385708,19.9,278.41
1733781739.356561,22.0,278.41
1733781740.3757582,20.9,278.41
1733781741.396394,32.0,278.41
1733781742.4507747,22.0,278.41
1733781743.4710262,21.0,278.41
1733781744.4889438,24.0,278.41
1733781745.5109909,19.9,278.41
1733781746.5315123,21.0,278.41
1733781747.5499675,20.0,278.41
1733781748.563912,20.0,278.41
1733781749.5787592,19.0,278.41
1733781750.5936062,19.9,278.41
1733781751.6052895,24.0,278.41
1733781752.6206756,21.0,278.41
1733781753.6350582,23.9,278.41
1733781754.6599193,30.0,278.41
1733781755.689279,29.9,278.41
1733781756.706479,21.0,278.41
1733781757.716154,18.0,278.41
1733781758.7463524,22.0,278.41
1733781759.7628293,21.0,278.41
1733781760.7749083,22.0,278.41
1733781761.7912688,22.9,278.41
1733781762.8058355,19.0,278.41
1733781763.81682,19.0,278.41
1733781764.8278954,21.0,278.41
1733781765.8403957,19.0,278.41
1733781766.8558164,23.0,278.41
1733781767.8731074,19.0,278.41
1733781768.88315,20.0,278.41
1733781769.898636,48.0,278.41
1733781770.9135177,44.0,278.41
1733781771.9294639,39.6,278.41
1733781772.9589908,47.0,278.41
1733781773.976775,32.0,278.41
1733781774.996082,33.0,278.41
1733781776.009363,23.9,278.41
1733781777.0300548,21.0,278.41
1733781778.0405886,22.0,278.41
1733781779.0597813,24.0,278.41
1733781780.0719004,23.0,278.41
1733781781.0830762,23.0,278.41
1733781782.0963643,26.0,278.41
1733781783.1086378,24.0,278.41
1733781784.1206489,27.0,278.41
1733781785.1337566,19.0,278.41
1733781786.1445591,22.9,278.41
1733781787.1646345,21.0,278.41
1733781788.180305,22.0,278.41
1733781789.1962917,22.0,278.41
1733781790.2081277,21.0,278.41
1733781791.2273502,24.0,278.41
1733781792.2408133,20.0,278.41
1733781793.251881,26.9,278.41
1733781794.2648566,25.9,278.41
1733781795.2795618,22.9,278.41
1733781796.2954903,21.0,278.41
1733781797.312678,22.0,278.41
1733781798.325748,22.0,278.41
1733781799.3363154,19.9,278.41
1733781800.3504348,23.0,278.41
1733781801.3690026,22.0,278.41
1733781802.3805127,23.0,278.41
1733781803.3916526,22.8,278.41
1733781804.4163246,22.0,278.41
1733781805.4302034,23.0,278.41
1733781806.44233,24.9,278.41
1733781807.4550488,23.0,278.41
1733781808.4665399,23.0,278.41
1733781809.4793634,24.0,278.41
1733781810.4983964,20.0,278.41
1733781811.5140383,22.0,278.41
1733781812.5288856,24.0,278.41
1733781813.5426059,21.0,278.41
1733781814.5626473,27.0,278.41
1733781815.5766232,21.0,278.41
1733781816.5923214,19.9,278.41
1733781817.606299,22.0,278.41
1733781818.6172907,21.9,278.41
1733781819.6346934,20.0,278.41
1733781820.647545,25.0,278.41
1733781821.6589723,24.0,278.41
1733781822.6713648,22.0,278.41
1733781823.691303,24.0,278.41
1733781824.7142994,21.0,278.41
1733781825.724249,21.0,278.41
1733781826.7382662,22.0,278.41
1733781827.7533894,23.0,278.41
1733781828.7620304,22.9,278.41
1733781829.7803733,21.0,278.41
1733781830.7950556,22.0,278.41
1733781831.8140085,24.0,278.41
1733781832.827363,23.0,278.41
1733781833.8429534,28.0,278.41
1733781834.8844845,23.9,278.41
1733781835.901703,24.0,278.41
1733781836.9819694,21.9,278.41
1733781837.9993322,22.0,278.41
1733781839.012584,21.0,278.41
1733781840.0327373,20.0,278.41
1733781841.0574853,25.0,278.41
1733781842.0765374,21.0,278.41
1733781843.089277,24.9,278.41
1733781844.104122,25.0,278.41
1733781845.1161273,22.9,278.41
1733781846.1290236,21.0,278.41
1733781847.1443431,25.0,278.41
1733781848.1583452,22.0,278.41
1733781849.1752822,22.0,278.41
1733781850.1868346,21.0,278.41
1733781851.1986494,27.0,278.41
1733781852.2183402,25.0,278.41
1733781853.232261,27.0,278.41
1733781854.2465603,21.0,278.41
1733781855.2599993,20.0,278.41
1733781856.2711499,23.0,278.41
1733781857.2838223,21.0,278.41
1733781858.2965589,26.0,278.41
1733781859.31468,19.0,278.41
1733781860.3246157,25.0,278.41
1733781861.342871,25.9,278.41
1733781862.356754,23.0,278.41
1733781863.3715096,23.0,278.41
1733781864.386741,23.0,278.41
1733781865.4049063,23.9,278.41
1733781866.415994,23.0,278.41
1733781867.4269435,21.0,278.41
1733781868.4420521,22.0,278.41
1733781869.4537206,21.9,278.41
1733781870.471749,22.0,278.41
1733781871.487158,22.9,278.41
1733781872.5009463,23.0,278.41
1733781873.5119596,21.0,278.41
1733781874.5236921,23.0,278.41
1733781875.5403314,21.0,278.41
1733781876.5509267,23.0,278.41
1733781877.570555,20.0,278.41
1733781878.595136,25.0,278.41
1733781879.6091056,25.9,278.41
1733781880.625007,26.0,278.41
1733781881.636915,25.9,278.41
1733781882.6474388,26.9,278.41
1733781883.6595564,29.0,278.41
1733781884.6716282,25.0,278.41
1733781885.6906066,25.9,278.41
1733781886.7091737,26.9,278.41
1733781887.7296543,26.0,278.41
1733781888.7416432,27.0,278.41
1733781889.7585058,23.0,278.41
1733781890.78042,27.0,278.41
1733781891.795758,27.9,278.41
1733781892.807839,29.0,278.41
1733781893.8217463,24.0,278.41
1733781894.8322845,21.0,278.41
1733781895.8435514,21.0,278.41
1733781896.8625104,21.9,278.41
1733781897.8848884,21.9,278.41
1733781898.901966,23.9,278.41
1733781899.9164424,19.0,278.41
1733781900.9362648,21.9,278.41
1733781901.956784,21.0,278.41
1733781902.9757948,23.0,278.41
1733781903.9878285,21.0,278.41
1733781905.0083466,23.0,278.41
1733781906.0185304,21.0,278.41
1733781907.0367246,23.0,278.41
1733781908.0540726,22.0,278.41
1733781909.0719788,23.0,278.41
1733781910.0883267,21.0,278.41
1733781911.1030087,21.9,278.41
1733781912.121268,23.9,278.41
1733781913.1367397,24.0,278.41
1733781914.156884,27.0,278.41
1733781915.1688883,21.0,278.41
1733781916.180408,20.0,278.41
1733781917.1998303,22.0,278.41
1733781918.213623,24.0,278.41
1733781919.228867,22.0,278.41
1733781920.2439737,24.0,278.41
1733781921.2549057,28.0,278.41
1733781922.2650404,24.0,278.41
1733781923.2810302,26.0,278.41
1733781924.2969005,28.0,278.41
1733781925.3083649,25.0,278.41
1733781926.3296158,29.0,278.41
1733781927.341881,24.0,278.41
1733781928.4846864,32.8,278.41
1733781929.5204833,28.0,278.41
1733781930.5351214,25.0,278.41
1733781931.559236,25.0,278.41
1733781932.5750756,20.0,278.41
1733781933.5878158,26.9,278.41
1733781934.6268027,24.0,278.41
1733781935.6423552,24.0,278.41
1733781936.6573758,20.0,278.41
1733781937.674298,23.0,278.41
1733781938.6893723,22.0,278.41
1733781939.7003214,20.0,278.41
